Element,Configuration,2p,3p,3d
V,2p63p54s03d1,4.449201257289863,0.5756573352372529,0.036191172576957996
V,2p63p54s03d0,4.452602683283938,0.6099437092575289,
Ti,2p63p64s23d2,3.5969399602144305,0.385585650688342,0.014558103254640999
Ti,2p63p64s13d2,3.597212074293957,0.385857764767868,0.015102331413693
Ti,2p63p64s03d2,3.597756302453009,0.386810164046209,0.015782616612508
Ti,2p63p64s23d1,3.595443332777038,0.40109615322132397,0.018095586288478998
Ti,2p63p64s13d1,3.5961236179758527,0.402864894738243,0.018639814447530996
Ti,2p63p64s03d1,3.597076017254194,0.40572209257326597,0.019320099646345998
Ti,2p63p64s03d0,3.597212074293957,0.43007630269084296,
Ti,2p53p64s23d2,3.774086225985857,0.451437257933634,0.026259008674259
Ti,2p53p64s13d2,3.774630454144909,0.45293388537102697,0.026803236833310998
Ti,2p53p64s03d2,3.7755828534232503,0.45538291208676096,0.027483522032126
Ti,2p53p64s23d1,3.7736780548665676,0.47388666949452896,0.030476776906911994
Ti,2p53p64s13d1,3.774766511184672,0.476743867329552,0.031021005065963995
Ti,2p53p64s03d1,3.776127081582302,0.4805534644429159,0.031837347304542
Ti,2p53p64s03d0,3.778167937178747,0.509669670952198,
Ti,2p63p54s23d2,3.6007495573277946,0.407626891129948,0.018911928527056997
Ti,2p63p54s13d2,3.60142984252661,0.40912351856734097,0.019320099646345998
Ti,2p63p54s03d2,3.6023822418049507,0.41157254528307496,0.020000384845161
Ti,2p63p54s23d1,3.600205329168743,0.42762727597510897,0.022313354521132
Ti,2p63p54s13d1,3.601157728447084,0.43062053084989493,0.022857582680184
Ti,2p63p54s03d1,3.6026543558844772,0.434566185003022,0.023537867878999
Ti,2p63p54s03d0,3.6042870403616325,0.461641535915859,
